"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U10","U-SOT-23-6","70.2818mm","45.0596mm","71.2978mm","43.5356mm","71.2978mm","43.5356mm","B","360.00","PS7516"
"R104","R0603","66.3956mm","45.1358mm","66.3956mm","45.8978mm","66.3956mm","45.8978mm","B","270.00","82KF"
"R103","R0603","67.8942mm","43.307mm","67.8942mm","42.545mm","67.8942mm","42.545mm","B","90.00","430KF"
"R102","R0603","67.8688mm","46.3042mm","67.8688mm","47.0662mm","67.8688mm","47.0662mm","B","270.00","10KF"
"R101","R0603","70.3072mm","49.0474mm","70.3072mm","49.8094mm","70.3072mm","49.8094mm","B","270.00","1KF"
"L1","L-2520","73.6092mm","42.6666mm","73.6092mm","43.9166mm","73.6092mm","43.9166mm","B","270.00","10uH"
"D12","HS_0603D","67.8688mm","48.7553mm","67.8688mm","48.7553mm","68.5673mm","48.7553mm","B","180.00","ESDA_TR1/0603"
"D11","HS_0603D","64.4144mm","48.768mm","64.4144mm","48.768mm","63.7159mm","48.768mm","B","360.00","ESDA_TR1/0603"
"C105","C0402","63.5508mm","50.0888mm","63.0428mm","50.0888mm","63.0428mm","50.0888mm","B","360.00","104J10V"
"C104","C1206","73.0758mm","48.5648mm","73.0758mm","48.5648mm","71.7258mm","48.5648mm","B","360.00","220UF 20%"
"C103","C0402","73.787mm","45.1866mm","74.295mm","45.1866mm","74.295mm","45.1866mm","B","180.00","104J10V"
"C102","C0805","73.6854mm","46.6852mm","73.6854mm","46.6852mm","72.9354mm","46.6852mm","B","360.00","226M50V"
"R77","R0603","57.376mm","6.2712mm","57.376mm","7.0332mm","57.376mm","7.0332mm","B","270.00","100KF"
"R43","R0603","10.3124mm","25.4mm","10.3124mm","26.162mm","10.3124mm","26.162mm","B","270.00","47KF"
"R30","R0603","62.0776mm","35.1028mm","61.3156mm","35.1028mm","61.3156mm","35.1028mm","B","360.00","150KF"
"C49","C0402","60.8584mm","5.461mm","60.8584mm","5.969mm","60.8584mm","5.969mm","B","270.00","330J10V"
"C48","C0402","60.3758mm","7.112mm","59.8678mm","7.112mm","59.8678mm","7.112mm","B","360.00","NC"
"C47","C0402","59.6646mm","5.461mm","59.6646mm","5.969mm","59.6646mm","5.969mm","B","270.00","NC"
"C20","C0402","9.4107mm","19.2532mm","9.4107mm","19.7612mm","9.4107mm","19.7612mm","B","270.00","105J10V"
"D5","U-SOT-23-3","18.6055mm","29.6164mm","17.653mm","30.6324mm","17.653mm","30.6324mm","B","360.00","BAT54C"
"C7","C0402","23.668mm","11.7474mm","24.176mm","11.7474mm","24.176mm","11.7474mm","B","180.00","101J10V"
"D1","U-SOT-23-3","35.9156mm","40.7797mm","34.8996mm","39.8272mm","34.8996mm","39.8272mm","B","90.00","BAT54C"
"S1","SW2-6*6H","3.8154mm","25.2162mm","3.8154mm","25.2162mm","2.5654mm","27.4962mm","B","90.00","KSMD6X6-4P"
"R100","R0603","15.6972mm","46.1264mm","16.4592mm","46.1264mm","16.4592mm","46.1264mm","B","180.00","39KF"
"J8","S1.25-2P","8.7984mm","4.9784mm","9.4234mm","4.9784mm","9.4234mm","4.9784mm","B","180.00","S1.25-2P"
"D7","LEDΦ5-H12","6.2mm","38.227mm","6.2mm","38.227mm","6.2mm","36.957mm","B","270.00","发光二极管"
"C101","C0805","18.9738mm","45.0596mm","18.9738mm","45.0596mm","18.4435mm","45.5899mm","B","315.00","22UF"
"C100","C0603","14.0716mm","53.086mm","13.3096mm","53.086mm","13.3096mm","53.086mm","B","360.00","10UF"
"C39","C0402","26.9494mm","49.53mm","26.9494mm","49.022mm","26.9494mm","49.022mm","B","90.00","33PF"
"C38","C0402","25.019mm","49.022mm","24.511mm","49.022mm","24.511mm","49.022mm","B","360.00","100PF"
"C35","C0402","22.9362mm","49.53mm","22.9362mm","50.038mm","22.9362mm","50.038mm","B","270.00","33PF"
"ANT1","J-IPEX","64.3123mm","5.612mm","65.0748mm","7.112mm","63.5498mm","5.612mm","B","180.00","IPEX"
"C31","C0402","49.5046mm","36.9189mm","49.5046mm","36.4109mm","49.5046mm","36.4109mm","B","90.00","105J10V"
"C9","C0402","35.987mm","15.3288mm","36.495mm","15.3288mm","36.495mm","15.3288mm","B","180.00","104J10V"
"D22","HS_0603D","25.273mm","42.5069mm","25.273mm","42.5069mm","25.9715mm","42.5069mm","B","180.00","ESDA_TR1/0603"
"D21","HS_0603D","21.4376mm","42.8498mm","21.4376mm","42.8498mm","20.7391mm","42.8498mm","B","360.00","ESDA_TR1/0603"
"C1","C0402","33.1422mm","11.5442mm","32.6342mm","11.5442mm","32.6342mm","11.5442mm","B","360.00","101J10V"
"C2","C0402","35.9743mm","12.7126mm","36.4823mm","12.7126mm","36.4823mm","12.7126mm","B","180.00","101J10V"
"C3","C0402","26.0556mm","11.595mm","26.5636mm","11.595mm","26.5636mm","11.595mm","B","180.00","101J10V"
"C4","C0402","23.6934mm","15.786mm","23.1854mm","15.786mm","23.1854mm","15.786mm","B","360.00","101J10V"
"C5","C0402","29.8402mm","11.5442mm","30.3482mm","11.5442mm","30.3482mm","11.5442mm","B","180.00","101J10V"
"C6","C0402","35.9743mm","11.5442mm","35.4663mm","11.5442mm","35.4663mm","11.5442mm","B","360.00","101J10V"
"C8","C0402","23.6934mm","16.929mm","24.2014mm","16.929mm","24.2014mm","16.929mm","B","180.00","101J10V"
"C10","C0402","35.987mm","16.4972mm","35.479mm","16.4972mm","35.479mm","16.4972mm","B","360.00","105J10V"
"C11","C0402","8.001mm","11.6713mm","8.001mm","11.1633mm","8.001mm","11.1633mm","B","90.00","101J10V"
"C12","C0402","13.2334mm","11.6713mm","13.2334mm","11.1633mm","13.2334mm","11.1633mm","B","90.00","101J10V"
"C13","C0402","10.795mm","22.2123mm","10.795mm","21.7043mm","10.795mm","21.7043mm","B","90.00","101J10V"
"C14","C0402","13.1064mm","25.7937mm","13.1064mm","26.3017mm","13.1064mm","26.3017mm","B","270.00","101J10V"
"C15","C0402","10.7696mm","14.6431mm","10.7696mm","15.1511mm","10.7696mm","15.1511mm","B","270.00","101J10V"
"C16","C0402","12.065mm","11.6713mm","12.065mm","12.1793mm","12.065mm","12.1793mm","B","270.00","101J10V"
"C17","C0402","7.5692mm","25.1714mm","7.5692mm","24.6634mm","7.5692mm","24.6634mm","B","90.00","101J10V"
"C18","C0402","14.2748mm","25.7937mm","14.2748mm","25.2857mm","14.2748mm","25.2857mm","B","90.00","101J10V"
"C19","C0402","10.8204mm","19.2532mm","10.8204mm","18.7452mm","10.8204mm","18.7452mm","B","90.00","104J10V"
"C21","C0402","59.8932mm","36.9189mm","59.8932mm","37.4269mm","59.8932mm","37.4269mm","B","270.00","101J10V"
"C22","C0402","54.7624mm","36.9189mm","54.7624mm","37.4269mm","54.7624mm","37.4269mm","B","270.00","101J10V"
"C23","C0402","13.4112mm","37.465mm","12.9032mm","37.465mm","12.9032mm","37.465mm","B","360.00","104J10V"
"C24","C0805","57.7088mm","47.7879mm","57.7088mm","47.7879mm","57.7088mm","48.5379mm","B","270.00","226M50V"
"C25","C0402","59.182mm","48.1584mm","59.182mm","48.6664mm","59.182mm","48.6664mm","B","270.00","104J10V"
"C26","C0402","54.6862mm","33.1978mm","54.6862mm","32.6898mm","54.6862mm","32.6898mm","B","90.00","101J10V"
"C27","C0402","58.674mm","36.9189mm","58.674mm","36.4109mm","58.674mm","36.4109mm","B","90.00","101J10V"
"C28","C0805","55.9308mm","47.7879mm","55.9308mm","47.7879mm","55.9308mm","48.5379mm","B","270.00","226M50V"
"C29","C0805","13.462mm","29.7688mm","13.462mm","29.7688mm","12.712mm","29.7688mm","B","360.00","226M50V"
"C30","C0402","50.6984mm","36.9189mm","50.6984mm","37.4269mm","50.6984mm","37.4269mm","B","270.00","104J10V"
"C34","C0402","57.9438mm","31.734mm","57.9438mm","31.226mm","57.9438mm","31.226mm","B","90.00","220J10V"
"C45","C0402","63.0936mm","31.7246mm","63.0936mm","32.2326mm","63.0936mm","32.2326mm","B","270.00","220J10V"
"C50","C0402","15.367mm","33.4264mm","15.367mm","32.9184mm","15.367mm","32.9184mm","B","90.00","104J10V"
"C51","C0603","54.483mm","6.2484mm","54.483mm","7.0104mm","54.483mm","7.0104mm","B","270.00","106K50V"
"C55","C0603","50.8762mm","23.6728mm","50.8762mm","24.4348mm","50.8762mm","24.4348mm","B","270.00","475K16V"
"C56","C0603","52.2986mm","23.6728mm","52.2986mm","24.4348mm","52.2986mm","24.4348mm","B","270.00","475K16V"
"C57","C0603","53.0352mm","6.2484mm","53.0352mm","7.0104mm","53.0352mm","7.0104mm","B","270.00","105K16V"
"D2","U-SOT-23-3","25.1079mm","29.4894mm","26.0604mm","28.4734mm","26.0604mm","28.4734mm","B","180.00","BAT54C"
"D3","D-LED0603G","53.467mm","37.3126mm","53.467mm","36.5506mm","53.467mm","36.5506mm","B","90.00","LED0603G"
"D4","U-SOT-23-3","21.8567mm","29.4894mm","22.8092mm","28.4734mm","22.8092mm","28.4734mm","B","180.00","BAT54C"
"J10","MICRO-USB_-_5.9","3.4155mm","45.959mm","-0.1794mm","42.209mm","4.953mm","44.659mm","B","90.00","USB-MINI-SOCKET"
"L2","L0805","48.133mm","20.0406mm","49.149mm","20.0406mm","49.149mm","20.0406mm","B","180.00","3.3uH"
"M1","A33-CORE2","40.231mm","26.67mm","10.231mm","38.735mm","10.231mm","38.735mm","T","360.00","A33 CORE2"
"R1","R0603","33.1168mm","10.2488mm","33.8788mm","10.2488mm","33.8788mm","10.2488mm","B","180.00","150KF"
"R2","R0603","36.2664mm","14.008mm","35.5044mm","14.008mm","35.5044mm","14.008mm","B","360.00","150KF"
"R3","R0603","33.574mm","17.7926mm","32.812mm","17.7926mm","32.812mm","17.7926mm","B","360.00","3KF"
"R4","R0603","36.5966mm","17.7926mm","35.8346mm","17.7926mm","35.8346mm","17.7926mm","B","360.00","3KF"
"R5","R0603","26.3096mm","10.2488mm","25.5476mm","10.2488mm","25.5476mm","10.2488mm","B","360.00","150KF"
"R6","R0603","23.287mm","14.4906mm","24.049mm","14.4906mm","24.049mm","14.4906mm","B","180.00","150KF"
"R7","R0603","23.287mm","22.4662mm","24.049mm","22.4662mm","24.049mm","22.4662mm","B","180.00","3KF"
"R8","R0603","23.287mm","19.6468mm","24.049mm","19.6468mm","24.049mm","19.6468mm","B","180.00","3KF"
"R9","R0603","33.574mm","19.2404mm","32.812mm","19.2404mm","32.812mm","19.2404mm","B","360.00","100RF"
"R10","R0603","36.5966mm","19.2404mm","37.3586mm","19.2404mm","37.3586mm","19.2404mm","B","180.00","100RF"
"R11","R0603","29.9164mm","10.2488mm","29.1544mm","10.2488mm","29.1544mm","10.2488mm","B","360.00","10KF"
"R12","R0603","36.3172mm","10.2488mm","37.0792mm","10.2488mm","37.0792mm","10.2488mm","B","180.00","10KF"
"R13","R0603","23.3124mm","23.8886mm","24.0744mm","23.8886mm","24.0744mm","23.8886mm","B","180.00","100RF"
"R14","R0603","23.287mm","21.0692mm","24.049mm","21.0692mm","24.049mm","21.0692mm","B","180.00","100RF"
"R15","R0603","23.287mm","13.0428mm","22.525mm","13.0428mm","22.525mm","13.0428mm","B","360.00","10KF"
"R16","R0603","23.287mm","18.2244mm","22.525mm","18.2244mm","22.525mm","18.2244mm","B","360.00","10KF"
"R17","R0603","30.2974mm","17.7926mm","31.0594mm","17.7926mm","31.0594mm","17.7926mm","B","180.00","47KF"
"R18","R0603","30.2974mm","20.7136mm","31.0594mm","20.7136mm","31.0594mm","20.7136mm","B","180.00","47KF"
"R19","R0603","26.843mm","20.7136mm","26.081mm","20.7136mm","26.081mm","20.7136mm","B","360.00","47KF"
"R20","R0603","26.843mm","17.7926mm","26.081mm","17.7926mm","26.081mm","17.7926mm","B","360.00","47KF"
"R21","R0603","30.2974mm","19.2404mm","31.0594mm","19.2404mm","31.0594mm","19.2404mm","B","180.00","1MF"
"R22","R0603","26.843mm","19.2404mm","26.081mm","19.2404mm","26.081mm","19.2404mm","B","360.00","1MF"
"R23","R0603","30.2974mm","22.1614mm","31.0594mm","22.1614mm","31.0594mm","22.1614mm","B","180.00","1MF"
"R24","R0603","26.843mm","22.1614mm","26.081mm","22.1614mm","26.081mm","22.1614mm","B","360.00","1MF"
"R25","R0603","9.271mm","11.938mm","9.271mm","12.7mm","9.271mm","12.7mm","B","270.00","150KF"
"R26","R0603","14.5542mm","12.065mm","14.5542mm","12.827mm","14.5542mm","12.827mm","B","270.00","150KF"
"R28","R0603","15.9814mm","12.065mm","15.9814mm","12.827mm","15.9814mm","12.827mm","B","270.00","3KF"
"R29","R0603","9.525mm","21.8186mm","9.525mm","22.5806mm","9.525mm","22.5806mm","B","270.00","150KF"
"R31","R0603","17.2974mm","25.4508mm","17.2974mm","26.2128mm","17.2974mm","26.2128mm","B","270.00","3KF"
"R32","R0603","17.2974mm","22.4916mm","17.2974mm","21.7296mm","17.2974mm","21.7296mm","B","90.00","3KF"
"R33","R0603","20.1422mm","16.3322mm","20.1422mm","15.5702mm","20.1422mm","15.5702mm","B","90.00","100RF"
"R34","R0603","17.4292mm","12.065mm","17.4292mm","12.827mm","17.4292mm","12.827mm","B","270.00","100RF"
"R35","R0603","8.001mm","15.0368mm","8.001mm","14.2748mm","8.001mm","14.2748mm","B","90.00","10KF"
"R36","R0603","10.7188mm","11.938mm","10.7188mm","11.176mm","10.7188mm","11.176mm","B","90.00","10KF"
"R37","R0603","18.7452mm","25.4508mm","18.7452mm","24.6888mm","18.7452mm","24.6888mm","B","90.00","100RF"
"R38","R0603","18.7452mm","22.4916mm","18.7452mm","21.7296mm","18.7452mm","21.7296mm","B","90.00","100RF"
"R40","R0603","8.8646mm","25.4mm","8.8646mm","26.162mm","8.8646mm","26.162mm","B","270.00","10KF"
"R41","R0603","15.5956mm","25.4mm","15.5956mm","26.162mm","15.5956mm","26.162mm","B","270.00","10KF"
"R42","R0603","17.2974mm","16.383mm","17.2974mm","17.145mm","17.2974mm","17.145mm","B","270.00","47KF"
"R44","R0603","17.2974mm","19.5072mm","17.2974mm","20.2692mm","17.2974mm","20.2692mm","B","270.00","47KF"
"R45","R0603","18.7198mm","16.3576mm","18.7198mm","15.5956mm","18.7198mm","15.5956mm","B","90.00","1MF"
"R46","R0603","9.9568mm","17.3482mm","10.7188mm","17.3482mm","10.7188mm","17.3482mm","B","180.00","47KF"
"R47","R0603","11.7856mm","25.4mm","11.7856mm","26.162mm","11.7856mm","26.162mm","B","270.00","1MF"
"R48","R0603","18.7452mm","19.5072mm","18.7452mm","20.2692mm","18.7452mm","20.2692mm","B","270.00","1MF"
"R49","R0603","9.4488mm","15.0368mm","9.4488mm","14.2748mm","9.4488mm","14.2748mm","B","90.00","1MF"
"R51","R0603","59.1058mm","35.1028mm","59.8678mm","35.1028mm","59.8678mm","35.1028mm","B","180.00","150KF"
"R52","R0603","52.0192mm","37.3126mm","52.0192mm","38.0746mm","52.0192mm","38.0746mm","B","270.00","47KF"
"R53","R0603","48.133mm","28.2956mm","48.133mm","27.5336mm","48.133mm","27.5336mm","B","90.00","3KF"
"R54","R0603","48.1838mm","37.211mm","48.1838mm","36.449mm","48.1838mm","36.449mm","B","90.00","3KF"
"R55","R0603","48.1584mm","34.2392mm","48.1584mm","33.4772mm","48.1584mm","33.4772mm","B","90.00","100RF"
"R56","R0603","48.133mm","31.2674mm","48.133mm","32.0294mm","48.133mm","32.0294mm","B","270.00","100RF"
"R57","R0603","54.7878mm","30.5816mm","54.7878mm","29.8196mm","54.7878mm","29.8196mm","B","90.00","10KF"
