Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project.PrjPcb|ReportField=ProjectFullPath~E:\2018-Task\2018-A33\AIWAC_Project_PCB_SCH\aiwac_design\AI Bolster\AIWAC-bolster-V02-Change2018.4.16-Qu\PCB_Project.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~187|ReportField=ReportTime~19:19:55|ReportField=ReportDate~2018/10/15|ReportField=ReportDateTime~2018/10/15 19:19:55|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018/10/15|ReportField=CurrentTime~19:19:50|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\2018-Task\2018-A33\AIWAC_Project_PCB_SCH\aiwac_design\AI Bolster\AIWAC-bolster-V02-Change2018.4.16-Qu\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018/4/17|ReportField=Organization~|ReportField=ProjectName~PCB_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project.PrjPcb|ReportField=DataSourceFullPath~E:\2018-Task\2018-A33\AIWAC_Project_PCB_SCH\aiwac_design\AI Bolster\AIWAC-bolster-V02-Change2018.4.16-Qu\PCB_Project.PrjPcb
1|IPEX|天线接口IPEX|ANT1|J-IPEX|1
2|101J10V|贴片电容-陶瓷|C1, C2, C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17, C18, C21, C22, C26, C27|C0402|20
3|104J10V|贴片电容-陶瓷|C9, C19, C23, C25, C30, C37, C50, C104, C106|C0402|9
4|105J10V|贴片电容-陶瓷|C10, C20, C31, C33|C0402|4
5|226M50V|贴片电容-陶瓷|C24, C28, C29, C103, C105|C0805|5
6|220UF 20%|C 1206钽电容 --220UF 10V 3216 A型 有极性电容 3.2mm X 1.6mm|C32, C42, C43|C1206|3
7|220J10V|贴片电容-陶瓷|C34, C45|C0402|2
8|33PF|贴片电容-陶瓷|C35, C39|C0402|2
9|22PF|贴片电容-陶瓷|C36, C40|C0402|2
10|100PF|贴片电容-陶瓷|C38|C0402|1
11|226K25V|贴片电容-陶瓷|C41|C0805|1
12|106K50V|贴片电容-陶瓷|C44, C51|C0603|2
13|NC|贴片电容-陶瓷|C47, C48|C0402|2
14|475K16V|贴片电容-陶瓷|C55, C56|C0603|2
15|105K16V|贴片电容-陶瓷|C57|C0603|1
16|10UF|贴片电容-陶瓷|C100|C0603|1
17|22UF|贴片电容-陶瓷|C101|C0805|1
18|BAT54C|贴片二极管-肖特基|D1, D2, D4, D5|U-SOT-23-3|4
19|LED0603G|贴片二极管-LED|D3|D-LED0603G|1
20|发光二极管||D6, D7|LEDΦ5-H12|2
21|ESDA_TR1/0603|Zener Diode|D21, D22, D23, D24|HS_0603D|4
22|SH1.0-T-1-LT-12A_卧式|SH1.0-T-1-LT-12A_卧式|J1, J2|J-SH1.0-T-1-LT-12A_卧式|2
23|SH1.0-T-1-LT-8A_卧式|SH1.0-T-1-LT-6A_卧式|J3, J4|J-SH1.0-T-1-LT-8A_卧式|2
24|SH1.0-T-1-LT-2A_卧式|SH1.0-T-1-LT-2A_卧式|J6, J7|J-SH1.0-T-1-LT-2A_卧式|2
25|ZH1.25|ZH1.25|J8|S1.25-2P|1
26|SH1.0-T-1-LT-10A_卧式|SH1.0-T-1-LT-10A_卧式|J9|J-SH1.0-T-1-LT-10A_卧式|1
